Chaser,TeamScore,ChaserScore,TimeLeft,Win
862,Shaun,15,15,(0:26),0
863,Anne,20,20,(0:01),0
864,Paul,16,16,(0:33),0
865,Mark,17,17,(0:19),0
866,Jenny,23,14,,1
867,Shaun,12,12,(0:48),0
868,Paul,15,15,(0:26),0
869,Jenny,15,15,(0:35),0
870,Shaun,19,18,,1
871,Anne,16,16,(0:26),0
872,Jenny,18,18,(0:01),0
873,Anne,12,12,(0:58),0
874,Paul,23,20,,1
875,Shaun,12,12,(1:03),0
876,Mark,13,13,(0:31),0
877,Paul,20,20,(0:20),0
878,Anne,17,12,,1
879,Mark,19,19,(0:08),0
880,Jenny,7,7,(1:30),0
881,Shaun,5,5,(1:33),0
882,Shaun,15,15,(0:42),0
883,Paul,17,17,(0:19),0
884,Jenny,11,11,(0:39),0
885,Anne,14,14,(0:20),0
886,Mark,19,15,,1
887,Anne,18,18,(0:18),0
888,Shaun,16,10,,1
889,Paul,16,16,(0:39),0
890,Jenny,21,21,(0:14),0
891,Mark,18,18,(0:26),0
892,Mark,18,18,(0:26),0
893,Paul,14,14,(0:41),0
894,Anne,14,14,(0:53),0
895,Shaun,17,16,,1
896,Jenny,15,15,(0:24),0
897,Shaun,13,13,(0:40),0
898,Anne,14,14,(0:31),0
899,Jenny,19,19,(0:27),0
900,Paul,20,19,,1
901,Mark,12,12,(1:02),0
902,Jenny,19,18,,1
903,Mark,17,17,(0:05),0
904,Shaun,9,9,(0:17),0
905,Anne,15,14,,1
906,Paul,15,15,(0:19),0
907,Paul,16,12,,1
908,Mark,17,13,,1
909,Shaun,12,12,(0:17),0
910,Jenny,13,13,(0:46),0
911,Anne,11,11,(0:58),0
912,Shaun,14,14,(0:17),0
913,Jenny,24,24,(0:14),0
914,Paul,16,16,(0:15),0
915,Mark,21,18,,1
916,Anne,16,16,(0:15),0
917,Jenny,13,13,(1:00),0
918,Paul,20,20,(0:07),0
919,Anne,22,14,,1
920,Mark,19,19,(0:25),0
921,Shaun,11,11,(0:27),0
922,Anne,12,12,(1:02),0
923,Shaun,16,3,,1
924,Paul,16,16,(0:27),0
925,Mark,9,9,(1:15),0
926,Jenny,11,11,(0:08),0
927,Shaun,18,18,(0:24),0
928,Jenny,18,18,(0:21),0
929,Paul,14,14,(0:45),0
930,Anne,15,15,(0:13),0
931,Mark,17,15,,1
932,Shaun,19,19,(0:01),0
933,Jenny,13,13,(0:18),0
934,Paul,12,12,(0:38),0
935,Anne,18,16,,1
936,Mark,19,19,(0:13),0
937,Shaun,15,11,,1
938,Mark,17,17,(0:20),0
939,Anne,20,20,(0:01),0
940,Jenny,16,16,(0:16),0
941,Paul,17,9,,1
942,Anne,16,16,(0:16),0
943,Shaun,18,14,,1
944,Mark,17,17,(0:13),0
945,Jenny,14,14,(0:52),0
946,Paul,15,15,(0:15),0
947,Paul,17,17,(0:33),0
948,Anne,19,16,,1
949,Jenny,12,12,(0:50),0
950,Shaun,17,17,(0:22),0
951,Mark,18,18,(0:29),0
952,Mark,18,16,,1
953,Anne,16,16,(0:15),0
954,Jenny,15,15,(0:21),0
955,Shaun,10,10,(0:58),0
956,Paul,21,21,(0:03),0
957,Shaun,11,11,(0:25),0
958,Jenny,15,15,(0:28),0
959,Mark,14,14,(0:51),0
960,Anne,19,19,(0:05),0
961,Paul,13,13,(0:55),0
962,Shaun,18,16,,1
963,Anne,13,13,(0:26),0
964,Jenny,19,19,(0:30),0
965,Mark,20,18,,1
966,Paul,11,11,(0:50),0
967,Mark,17,15,,1
968,Anne,13,13,(0:51),0
