memMemberNo,Gender,Age,StartDate,BMI,Freq
4340,F,33,18/11/2015,NA,1
4341,M,28,6/10/2014,NA,6
4342,F,26,6/10/2014,NA,6
4343,F,27,4/10/2015,NA,2
4344,M,43,30/03/2015,NA,3
4345,M,40,29/02/2016,NA,1
4346,M,38,2/11/2014,NA,4
4347,F,27,18/10/2015,NA,1
4348,M,55,22/12/2013,NA,4
4349,F,51,19/09/2014,NA,7
4350,M,29,13/10/2015,NA,7
4351,M,55,28/11/2015,NA,8
4352,M,48,16/08/2015,NA,1
4353,M,26,4/06/2014,NA,1
4354,M,24,14/05/2015,22.05,12
4355,F,24,11/01/2014,NA,5
4356,M,26,25/02/2016,NA,1
4357,M,33,30/03/2016,NA,1
4358,M,37,2/09/2015,NA,1
4359,F,28,15/10/2013,NA,5
4360,M,19,7/07/2014,NA,11
4361,F,29,12/01/2015,NA,1
4362,F,55,15/12/2013,NA,1
4363,F,33,11/05/2015,NA,3
4364,M,29,7/05/2015,NA,1
4365,F,27,14/01/2014,NA,1
4366,M,50,16/10/2014,NA,1
4367,F,51,14/05/2015,NA,7
4368,F,43,12/09/2013,NA,19
4369,F,43,12/10/2013,NA,1
4370,M,42,1/04/2014,NA,1
4371,F,35,26/04/2015,NA,1
4372,U,55,13/01/2016,NA,1
4373,M,38,22/07/2015,NA,2
4374,M,37,24/10/2013,NA,3
4375,F,29,9/04/2015,NA,1
4376,F,37,12/03/2016,NA,1
4377,F,27,15/06/2015,NA,15
4378,M,31,5/08/2015,NA,3
4379,M,30,8/04/2015,30.91,1
4380,M,29,7/03/2015,NA,6
4381,M,56,9/02/2015,NA,19
4382,F,25,17/10/2014,NA,21
4383,F,41,14/03/2015,NA,82
4384,F,40,4/06/2014,NA,1
4385,M,56,13/09/2013,NA,2
4386,F,52,10/12/2013,NA,26
4387,M,26,25/01/2014,NA,1
4388,M,36,10/03/2015,NA,1
4389,F,64,19/05/2014,NA,1
4390,M,33,22/08/2014,NA,2
4391,M,35,19/03/2016,NA,1
4392,M,47,10/03/2014,NA,35
4393,M,36,31/01/2015,NA,3
4394,F,28,23/01/2014,NA,2
4395,M,32,15/10/2014,NA,3
4396,F,43,7/01/2014,NA,34
4397,M,29,15/10/2014,NA,2
4398,F,27,17/01/2014,NA,50
4399,M,69,6/08/2015,NA,1
4400,F,69,6/08/2015,NA,2
4401,F,64,17/03/2016,NA,3
4402,F,38,12/10/2015,20.76,1
4403,F,47,30/08/2014,NA,3
4404,F,26,28/01/2014,NA,1
4405,M,29,1/08/2014,NA,2
4406,M,42,21/01/2016,36.03,3
4407,F,35,9/07/2014,NA,6
4408,F,47,24/11/2014,NA,3
4409,F,37,30/04/2015,NA,9
4410,M,58,9/09/2013,NA,9
4411,F,39,7/06/2014,NA,5
4412,F,28,15/10/2015,NA,3
4413,M,41,6/02/2016,NA,1
4414,M,35,24/01/2016,NA,1
4415,M,36,24/02/2015,NA,3
4416,F,45,11/06/2015,NA,4
4417,F,35,27/07/2015,22.5,2
4418,F,27,26/03/2015,NA,2
4419,M,45,20/03/2014,NA,1
4420,F,58,11/11/2014,NA,100
4421,M,56,27/04/2014,NA,59
4422,F,34,13/06/2014,NA,4
4423,F,45,16/01/2014,NA,1
4424,F,30,21/01/2014,NA,1
4425,F,33,18/01/2015,NA,1
4426,M,34,30/07/2015,NA,2
4427,M,28,5/11/2015,21.62,1
4428,F,27,29/10/2013,NA,4
4429,F,60,1/07/2014,NA,2
4430,M,49,7/05/2014,NA,2
4431,M,37,16/09/2013,NA,10
4432,F,28,2/03/2014,NA,4
4433,F,36,27/05/2014,NA,1
4434,F,48,23/03/2015,NA,2
4435,F,31,2/04/2014,NA,1
4436,F,40,27/05/2014,NA,1
4437,F,32,22/05/2015,NA,2
4438,M,43,26/01/2014,NA,29
4439,M,42,13/06/2015,NA,1
4440,M,32,8/03/2014,NA,1
4441,F,35,7/11/2013,NA,8
4442,F,40,18/02/2016,NA,3
4443,F,39,28/06/2014,NA,1
4444,M,20,21/07/2015,NA,1
4445,F,23,30/04/2014,NA,9
4446,M,22,20/05/2014,NA,6
4447,F,22,23/03/2014,NA,11
4448,F,19,7/09/2015,30.16,2
4449,M,47,29/04/2015,NA,32
4450,M,56,23/09/2014,NA,1
4451,F,59,11/09/2013,NA,1
4452,M,66,30/06/2015,NA,1
4453,F,44,17/12/2015,NA,19
4454,F,33,12/06/2015,NA,5
4455,F,43,21/01/2014,NA,3
4456,M,64,26/02/2016,NA,1
4457,M,29,7/10/2013,NA,3
4458,F,33,13/01/2015,NA,1
4459,F,37,6/03/2015,NA,5
4460,F,28,6/01/2014,NA,6
4461,F,37,1/02/2014,NA,2
4462,F,38,27/01/2014,NA,15
4463,F,44,11/04/2014,NA,12
4464,F,27,19/10/2014,NA,3
4465,M,47,19/12/2014,NA,5
4466,F,39,31/10/2013,NA,17
4467,F,35,18/09/2013,NA,6
4468,F,34,21/07/2014,NA,1
4469,F,38,29/07/2014,NA,2
4470,F,51,2/10/2013,NA,30
4471,F,53,19/02/2014,NA,1
4472,F,32,3/06/2015,34.08,3
4473,M,49,25/09/2013,NA,5
4474,M,32,6/10/2013,NA,1
4475,M,45,7/01/2014,NA,2
4476,F,42,24/10/2013,NA,2
4477,F,35,8/04/2014,NA,4
4478,M,33,12/01/2015,NA,31
4479,F,27,22/01/2014,NA,2
4480,F,27,20/01/2016,NA,1
4481,M,53,23/01/2014,NA,2
4482,M,53,30/05/2014,NA,4
4483,F,51,29/05/2014,NA,6
4484,F,60,8/11/2015,NA,7
4485,F,30,2/06/2014,NA,16
4486,F,46,15/03/2014,NA,2
4487,F,43,31/01/2016,NA,1
4488,F,36,29/05/2014,NA,6
4489,M,36,15/07/2014,NA,26
4490,F,31,18/11/2014,NA,2
4491,M,61,3/10/2013,NA,6
4492,F,53,2/10/2014,NA,2
4493,F,33,20/11/2015,NA,1
4494,F,37,20/01/2014,NA,12
4495,F,37,27/01/2016,NA,1
4496,F,32,29/05/2014,NA,1
4497,F,41,3/10/2013,NA,40
4498,M,55,28/01/2014,NA,22
4499,F,36,26/10/2013,NA,1
4500,F,56,28/03/2014,NA,1
4501,F,34,6/03/2014,NA,7
4502,F,53,12/10/2015,NA,18
4503,M,64,13/11/2014,NA,24
4504,F,61,22/06/2014,NA,33
4505,F,62,26/08/2015,25.07,4
4506,M,34,4/02/2016,NA,1
4507,F,46,8/09/2014,NA,16
4508,M,46,24/09/2013,NA,28
4509,M,43,16/02/2015,NA,191
4510,M,41,29/10/2013,NA,12
4511,F,66,7/10/2013,NA,6
4512,F,51,5/03/2015,NA,3
4513,F,44,19/01/2014,NA,7
4514,M,16,21/01/2015,NA,1
4515,F,42,3/01/2014,NA,6
4516,F,32,25/06/2014,NA,4
4517,M,59,8/01/2014,NA,12
4518,M,54,28/09/2013,NA,42
4519,F,53,28/09/2013,NA,40
4520,F,69,17/10/2013,NA,23
4521,M,22,9/01/2014,NA,3
4522,M,55,3/02/2015,NA,55
4523,F,35,23/10/2014,NA,18
4524,M,51,21/02/2015,NA,2
4525,F,40,8/10/2013,NA,16
4526,F,35,23/09/2013,NA,8
4527,F,43,10/01/2014,NA,27
4528,M,28,3/11/2014,NA,2
4529,M,35,20/02/2015,NA,1
4530,F,43,14/01/2015,NA,1
4531,M,62,24/02/2016,34.05,5
4532,M,37,8/10/2013,NA,2
4533,M,67,28/09/2013,NA,29
4534,M,29,5/02/2015,NA,20
4535,F,61,20/10/2014,NA,11
4536,F,36,14/08/2015,NA,1
4537,M,54,7/10/2013,NA,125
4538,F,35,23/09/2013,NA,23
4539,M,34,1/10/2013,NA,4
4540,M,40,26/11/2013,NA,6
4541,M,37,18/02/2015,NA,4
4542,F,29,4/05/2015,NA,1
4543,M,32,4/10/2013,NA,26
4544,M,50,13/10/2015,NA,1
4545,M,70,2/10/2013,NA,70
4546,F,38,6/10/2013,NA,4
4547,F,26,14/04/2014,NA,1
4548,F,29,1/08/2014,NA,5
4549,M,44,7/03/2015,NA,6
4550,F,32,11/10/2015,NA,1
4551,F,19,22/07/2014,NA,2
4552,F,48,19/10/2015,NA,1
4553,F,54,28/03/2014,NA,53
4554,F,62,10/06/2015,34.99,1
4555,M,63,4/02/2015,NA,1
4556,F,60,22/10/2013,NA,18
4557,M,33,30/09/2013,NA,2
4558,M,36,19/03/2014,NA,3
4559,M,56,28/05/2015,NA,49
4560,F,31,25/06/2015,NA,5
4561,F,62,11/11/2014,NA,2
4562,F,62,5/12/2014,NA,3
4563,F,33,24/09/2013,NA,12
4564,M,33,12/02/2014,NA,1
4565,F,30,17/08/2015,NA,12
4566,F,28,17/08/2015,NA,12
4567,M,46,14/01/2015,NA,46
4568,M,52,13/10/2015,NA,11
4569,M,62,5/10/2013,NA,24
4570,F,63,16/10/2013,NA,3
4571,M,28,22/11/2014,NA,5
4572,F,31,16/08/2014,NA,15
4573,F,16,26/07/2014,NA,10
4574,F,64,4/03/2015,NA,16
4575,F,30,23/03/2014,NA,1
4576,M,16,17/02/2015,NA,1
4577,F,58,18/10/2013,NA,5
4578,F,62,13/12/2013,NA,33
4579,M,43,22/06/2014,NA,2
4580,M,56,3/10/2013,NA,8
4581,M,63,30/09/2015,NA,8
4582,M,47,3/01/2014,NA,17
4583,F,28,27/03/2015,NA,3
4584,F,64,14/03/2014,NA,5
4585,F,58,4/01/2016,NA,16
4586,F,65,15/01/2016,30.39,1
4587,F,43,13/10/2013,NA,10
4588,F,64,5/11/2015,NA,5
4589,M,66,10/01/2014,NA,8
4590,F,67,10/01/2014,NA,6
4591,F,42,1/05/2015,NA,1
4592,M,80,23/10/2013,NA,31
4593,M,37,5/10/2013,NA,5
4594,F,62,25/08/2014,NA,43
4595,F,30,24/06/2014,NA,17
4596,F,26,14/10/2013,NA,8
4597,F,55,21/12/2013,NA,25
4598,F,38,22/10/2014,NA,28
4599,M,55,8/10/2013,NA,4
4600,M,38,15/09/2013,NA,1
4601,M,31,22/09/2014,NA,7
4602,M,34,18/06/2015,NA,13
4603,M,48,27/10/2013,NA,12
4604,M,39,19/10/2013,NA,3
4605,F,49,22/01/2016,21.75,3
4606,F,29,8/05/2014,NA,1
4607,F,34,13/08/2015,NA,14
4608,M,39,13/08/2015,NA,8
4609,F,61,11/10/2015,NA,1
4610,F,48,25/02/2016,NA,4
4611,F,34,18/10/2013,NA,5
4612,M,68,24/03/2015,NA,4
4613,F,32,28/06/2015,NA,2
4614,M,36,19/02/2015,NA,1
4615,M,42,23/08/2014,NA,1
4616,F,34,4/03/2016,NA,1
4617,M,38,9/09/2013,NA,16
4618,M,52,14/01/2015,NA,1
4619,F,34,14/01/2016,NA,1
4620,F,37,28/06/2014,NA,3
4621,F,34,20/10/2013,NA,19
4622,F,44,22/12/2014,NA,4
4623,M,64,31/10/2013,NA,63
4624,F,51,17/06/2015,NA,11
4625,F,63,20/04/2015,NA,6
4626,M,66,4/03/2015,NA,2
4627,F,31,16/05/2015,24.17,6
4628,F,31,26/05/2015,NA,8
4629,F,35,7/06/2014,NA,1
4630,M,39,7/06/2014,NA,1
4631,M,29,1/04/2015,NA,1
4632,M,38,7/12/2014,NA,2
4633,F,39,10/08/2015,NA,1
4634,M,33,30/03/2014,NA,3
4635,F,26,3/09/2015,NA,27
4636,F,40,16/03/2014,NA,1
4637,F,29,12/10/2014,NA,2
4638,F,42,4/07/2014,NA,16
4639,F,34,16/08/2015,NA,1
4640,M,33,18/03/2014,NA,3
4641,F,46,25/08/2015,24.79,2
4642,F,49,11/11/2013,NA,35
4643,F,25,10/11/2013,NA,2
4644,M,37,7/04/2015,NA,2
4645,F,37,26/01/2014,NA,38
4646,F,39,30/07/2015,NA,1
4647,F,35,13/10/2013,NA,2
4648,F,44,15/09/2014,NA,10
4649,F,36,31/01/2016,NA,2
4650,M,31,12/09/2013,NA,2
4651,F,22,12/07/2015,NA,1
4652,F,31,7/09/2015,NA,1
4653,F,25,11/08/2014,NA,5
4654,F,42,13/01/2016,NA,8
4655,F,56,19/09/2015,NA,1
4656,M,32,28/09/2014,NA,11
4657,M,43,25/05/2014,NA,3
4658,F,29,7/10/2013,NA,31
4659,F,27,12/01/2014,NA,5
4660,M,66,1/10/2013,NA,16
4661,F,31,10/12/2015,NA,3
4662,F,40,20/09/2013,NA,33
4663,F,51,5/09/2014,NA,1
4664,M,62,4/11/2014,NA,15
4665,M,50,3/10/2013,NA,42
4666,F,28,12/04/2014,NA,9
4667,F,29,11/12/2015,NA,1
4668,F,69,26/01/2016,NA,3
4669,F,43,10/10/2014,NA,2
4670,F,63,5/12/2014,NA,7
4671,F,33,29/09/2015,NA,2
4672,F,33,11/06/2014,NA,1
4673,F,29,5/06/2014,NA,6
4674,F,34,1/06/2015,NA,5
4675,F,39,2/02/2016,NA,18
4676,M,56,5/12/2015,25.47,1
4677,F,43,26/09/2013,NA,5
4678,F,22,18/06/2015,NA,3
4679,F,28,22/04/2015,NA,4
4680,F,56,4/08/2015,NA,1
4681,M,16,5/02/2014,NA,3
4682,F,46,5/02/2014,NA,11
4683,F,41,5/02/2014,NA,5
4684,F,41,4/03/2014,NA,6
4685,F,24,5/02/2014,NA,1
4686,M,32,6/02/2014,NA,1
4687,F,29,6/02/2014,NA,2
4688,F,46,6/02/2014,NA,5
4689,F,34,6/03/2015,NA,12
4690,F,21,7/02/2014,NA,19
4691,F,31,8/02/2014,NA,4
4692,F,26,7/02/2014,NA,2
4693,F,37,7/02/2014,NA,8
4694,M,39,7/02/2014,NA,1
4695,F,42,7/02/2014,NA,4
4696,F,50,7/02/2014,NA,1
4697,M,35,8/02/2014,NA,4
4698,F,21,8/02/2014,NA,2
4699,F,35,8/02/2014,NA,4
4700,M,42,8/02/2014,NA,5
4701,F,47,8/02/2014,NA,4
4702,M,46,27/12/2015,NA,1
4703,M,40,9/02/2014,NA,4
4704,F,45,9/02/2014,NA,1
4705,F,47,9/02/2014,NA,3
4706,M,70,10/02/2014,NA,30
4707,M,27,10/02/2014,NA,2
4708,F,21,10/02/2014,NA,4
4709,M,39,5/02/2015,NA,3
4710,M,39,11/02/2014,NA,1
4711,F,34,11/02/2014,NA,7
4712,F,29,3/11/2015,NA,1
4713,F,42,14/02/2014,NA,100
4714,M,53,11/02/2014,NA,119
4715,F,65,11/09/2014,NA,3
4716,M,56,11/02/2014,NA,1
4717,F,33,11/02/2014,NA,30
4718,F,35,11/02/2014,NA,5
4719,F,24,11/02/2014,NA,3
4720,M,64,11/02/2014,NA,7
4721,M,28,11/02/2014,NA,1
4722,F,59,11/02/2014,NA,13
4723,M,61,13/10/2014,NA,91
4724,F,22,11/02/2014,NA,2
4725,M,24,11/02/2014,NA,1
4726,F,52,11/02/2014,NA,1
4727,F,32,11/02/2014,NA,8
4728,F,17,11/02/2014,NA,1
4729,F,28,11/02/2014,NA,1
4730,F,46,11/02/2014,NA,3
4731,M,31,11/02/2014,NA,3
4732,M,26,11/02/2014,NA,2
4733,F,51,11/02/2014,NA,41
4734,F,50,11/02/2014,NA,1
4735,M,38,11/02/2014,NA,4
4736,F,37,11/02/2014,NA,10
4737,F,30,12/02/2014,NA,1
4738,F,31,12/02/2014,NA,1
4739,F,28,12/02/2014,NA,11
4740,F,40,12/02/2014,NA,27
4741,F,17,12/02/2014,NA,36
4742,M,19,12/02/2014,NA,1
4743,F,36,12/02/2014,NA,2
4744,F,57,12/02/2014,NA,1
4745,M,21,12/02/2014,NA,7
4746,F,61,12/02/2014,NA,4
4747,M,38,12/02/2014,NA,31
4748,F,57,2/03/2015,NA,1
4749,M,28,12/02/2014,NA,1
4750,M,59,12/02/2014,NA,1
4751,F,34,12/02/2014,NA,2
4752,F,32,12/02/2014,NA,2
4753,F,48,12/02/2014,NA,22
4754,F,39,9/07/2014,NA,2
4755,M,28,12/02/2014,NA,1
4756,M,53,12/02/2014,NA,59
4757,F,61,12/02/2014,NA,6
4758,M,29,12/02/2014,NA,1
4759,F,52,12/02/2014,NA,9
4760,M,30,12/02/2014,NA,3
4761,F,23,12/02/2014,NA,7
4762,F,27,12/02/2014,NA,3
4763,M,39,13/02/2014,NA,7
4764,F,39,13/02/2014,NA,1
4765,M,48,13/02/2014,NA,4
4766,F,32,13/02/2014,NA,1
4767,M,75,13/02/2014,NA,2
4768,M,30,13/02/2014,NA,3
4769,M,39,13/02/2014,NA,1
4770,M,40,13/02/2014,NA,33
4771,F,24,13/02/2014,NA,2
4772,F,55,13/02/2014,NA,8
4773,M,40,13/02/2014,NA,14
4774,F,51,13/02/2014,NA,31
4775,F,60,6/02/2015,NA,1
4776,F,44,13/02/2014,NA,1
4777,M,33,13/02/2014,NA,10
4778,F,17,13/02/2014,NA,1
4779,M,47,13/02/2014,NA,2
4780,F,37,16/10/2014,NA,2
4781,F,62,13/02/2014,NA,1
4782,F,20,13/02/2014,NA,1
4783,M,32,23/07/2014,NA,2
4784,M,62,8/01/2016,22.32,2
4785,F,36,14/02/2014,NA,1
4786,F,33,14/02/2014,NA,3
4787,M,31,14/02/2014,NA,6
4788,F,33,15/02/2014,NA,6
4789,M,30,15/02/2014,NA,2
4790,M,27,15/02/2014,NA,1
4791,M,32,15/02/2014,NA,9
4792,M,39,15/02/2014,NA,2
4793,F,56,15/02/2014,NA,15
4794,F,58,15/02/2014,NA,14
4795,F,29,15/02/2014,NA,1
4796,F,29,16/02/2014,NA,5
4797,M,44,16/02/2014,NA,1
4798,M,29,16/02/2014,NA,2
4799,M,33,19/02/2014,NA,2
4800,M,59,7/04/2015,23.43,1
4801,F,16,16/02/2014,NA,5
4802,F,29,27/01/2016,NA,1
4803,F,39,16/02/2014,NA,1
4804,M,31,17/02/2014,NA,4
4805,M,60,17/02/2014,NA,64
4806,F,16,17/02/2014,NA,4
4807,F,24,24/02/2014,NA,2
4808,F,41,17/02/2014,NA,4
4809,M,34,17/02/2014,NA,1
4810,F,23,17/02/2014,NA,31
4811,F,26,17/02/2014,NA,1
4812,M,39,17/02/2014,NA,1
4813,M,48,1/10/2015,NA,3
4814,F,48,1/10/2015,NA,1
4815,F,22,17/02/2014,NA,2
4816,M,37,17/02/2014,NA,1
4817,F,36,17/02/2014,NA,1
4818,F,36,17/02/2014,NA,6
4819,F,35,17/02/2014,NA,1
4820,M,31,17/02/2014,NA,15
4821,F,47,21/02/2016,NA,1
4822,F,26,17/02/2014,NA,2
4823,M,54,18/02/2014,NA,1
4824,F,25,6/03/2015,NA,1
4825,F,19,18/02/2014,NA,2
4826,F,19,18/02/2014,NA,2
4827,F,52,18/02/2014,NA,12
4828,M,40,18/02/2014,NA,1
4829,M,26,14/08/2014,NA,1
4830,F,61,18/02/2014,NA,1
4831,F,20,18/02/2014,NA,5
4832,F,37,18/02/2014,NA,8
4833,F,28,18/02/2014,NA,1
4834,F,40,18/02/2014,NA,1
4835,F,40,18/02/2014,NA,6
4836,M,35,18/02/2014,NA,27
4837,M,20,18/02/2014,NA,21
4838,F,32,18/02/2014,NA,1
4839,F,43,18/02/2014,NA,2
4840,F,50,18/02/2014,NA,1
4841,M,19,18/02/2014,NA,1
4842,F,38,18/02/2014,NA,7
4843,M,61,19/02/2014,NA,9
4844,F,47,19/02/2014,NA,1
4845,M,63,19/02/2014,NA,1
4846,F,28,19/02/2014,NA,5
4847,F,45,15/03/2014,NA,1
4848,F,21,19/02/2014,NA,1
4849,F,16,24/10/2015,NA,1
4850,F,22,19/02/2014,NA,1
4851,M,27,1/10/2015,NA,1
4852,F,36,26/11/2015,NA,8
4853,M,44,19/02/2014,NA,1
4854,F,45,19/02/2014,NA,38
4855,F,34,19/02/2014,NA,2
4856,M,21,19/02/2014,NA,10
4857,F,40,19/02/2014,NA,4
4858,F,23,19/02/2014,NA,1
4859,M,48,20/02/2014,NA,2
4860,F,41,20/02/2014,NA,1
4861,F,53,20/02/2014,NA,3
4862,F,32,4/05/2015,NA,3
4863,F,51,8/02/2016,NA,3
4864,M,16,20/02/2014,NA,1
4865,F,27,29/01/2015,NA,1
4866,F,24,20/02/2014,NA,10
4867,M,40,20/02/2014,NA,13
4868,M,43,20/02/2014,NA,5
4869,F,26,20/02/2014,NA,1
4870,M,45,20/02/2014,NA,3
4871,F,27,20/02/2014,NA,3
4872,F,37,7/05/2014,NA,23
4873,M,31,21/02/2014,NA,1
4874,M,34,21/02/2014,NA,4
4875,F,53,21/02/2014,NA,2
4876,F,72,22/03/2016,29.62,1
4877,M,48,21/02/2014,NA,43
4878,F,35,21/02/2014,NA,24
4879,M,31,21/02/2014,NA,3
4880,M,50,26/03/2014,NA,8
4881,M,43,21/02/2014,NA,4
4882,M,43,21/02/2014,NA,2
4883,M,28,11/12/2015,29.35,1
4884,M,32,21/02/2014,NA,1
4885,M,44,21/02/2014,NA,6
4886,M,18,21/02/2014,NA,2
4887,F,35,17/01/2016,NA,4
4888,F,28,21/02/2014,NA,2
4889,F,26,6/09/2015,NA,4
4890,M,44,21/02/2014,NA,1
4891,F,24,22/02/2014,NA,3
4892,M,65,22/02/2014,NA,1
4893,M,40,22/02/2014,NA,14
4894,F,29,22/02/2014,NA,1
4895,F,44,22/02/2014,NA,1
4896,F,23,22/02/2014,NA,14
4897,F,31,22/02/2014,NA,5
4898,M,28,22/02/2014,NA,2
4899,F,51,22/02/2014,NA,1
4900,M,33,22/02/2014,NA,3
4901,M,35,22/02/2014,NA,9
4902,F,27,22/02/2014,NA,17
4903,F,36,23/02/2014,NA,4
4904,F,51,23/02/2014,NA,49
4905,F,36,23/02/2014,NA,10
4906,F,36,23/02/2014,NA,1
4907,F,18,23/02/2014,NA,1
4908,F,25,11/07/2014,NA,1
4909,F,41,23/02/2014,NA,1
4910,M,50,2/03/2014,NA,3
4911,M,27,23/02/2014,NA,11
4912,M,35,23/02/2014,NA,3
4913,F,25,23/02/2014,NA,1
4914,F,29,23/02/2014,NA,4
4915,F,24,23/02/2014,NA,3
4916,F,27,24/02/2014,NA,1
4917,F,61,24/02/2014,NA,47
4918,M,64,24/02/2014,NA,41
4919,F,40,8/01/2016,NA,5
4920,M,31,24/02/2014,NA,7
4921,F,31,24/02/2014,NA,5
4922,F,25,24/02/2014,NA,1
4923,F,33,1/10/2014,NA,2
4924,F,51,24/02/2014,NA,24
4925,F,29,22/07/2015,NA,3
4926,M,31,24/02/2014,NA,6
4927,F,44,24/02/2014,NA,11
4928,M,25,5/02/2015,NA,1
4929,M,35,24/02/2014,NA,5
4930,F,34,24/02/2014,NA,2
4931,M,52,24/02/2014,NA,3
4932,M,32,24/02/2014,NA,9
4933,M,35,24/02/2014,NA,3
4934,F,33,24/02/2014,NA,1
4935,M,56,15/01/2015,NA,6
4936,F,22,25/02/2014,NA,1
4937,M,41,1/03/2015,NA,1
4938,F,35,3/06/2014,NA,1
4939,M,30,25/02/2014,NA,1
4940,F,44,25/02/2014,NA,5
4941,F,19,25/02/2014,NA,1
4942,F,45,25/02/2014,NA,1
4943,M,26,25/02/2014,NA,4
4944,F,42,30/09/2014,NA,16
4945,F,33,4/03/2014,NA,7
4946,F,46,25/02/2014,NA,19
4947,M,39,25/02/2014,NA,129
4948,F,39,7/03/2014,NA,164
4949,F,33,25/02/2014,NA,1
4950,F,54,25/02/2014,NA,2
4951,F,51,25/02/2014,NA,1
4952,F,38,25/02/2014,NA,2
4953,F,27,25/02/2014,NA,1
4954,M,43,25/02/2014,NA,1
4955,M,27,25/02/2014,NA,1
4956,F,26,12/01/2015,NA,1
4957,F,41,25/02/2014,NA,1
4958,M,44,25/02/2014,NA,3
4959,F,24,26/02/2014,NA,7
4960,F,20,26/02/2014,NA,1
4961,F,29,26/02/2014,NA,3
4962,F,40,26/02/2014,NA,3
4963,F,40,1/09/2014,NA,36
4964,M,38,26/02/2014,NA,1
4965,M,38,26/02/2014,NA,3
4966,M,27,26/02/2014,NA,1
4967,M,44,26/02/2014,NA,1
4968,F,44,26/02/2014,NA,22
4969,M,62,26/02/2014,NA,57
4970,F,32,26/02/2014,NA,5
4971,M,19,26/02/2014,NA,1
4972,M,33,26/02/2014,NA,7
4973,F,55,26/02/2014,NA,19
4974,F,50,26/02/2014,NA,1
4975,F,33,27/02/2014,NA,4
4976,F,22,27/02/2014,NA,8
4977,M,25,27/02/2014,NA,1
4978,M,51,11/03/2014,NA,1
4979,F,22,27/02/2014,NA,6
4980,F,58,27/02/2014,NA,8
4981,M,27,27/02/2014,NA,1
4982,F,38,13/01/2015,NA,4
4983,F,29,27/02/2014,NA,5
4984,F,42,8/03/2014,NA,1
4985,F,29,27/02/2014,NA,3
4986,F,17,2/11/2015,NA,1
4987,F,34,27/02/2014,NA,10
4988,M,32,27/02/2014,NA,9
4989,F,28,28/02/2014,NA,1
4990,F,35,28/02/2014,NA,5
4991,F,30,28/02/2014,NA,1
4992,F,45,17/06/2014,NA,6
4993,M,52,29/04/2014,NA,1
4994,F,31,31/03/2014,NA,2
4995,M,34,28/02/2014,NA,1
4996,M,42,28/02/2014,NA,21
4997,M,37,27/04/2014,NA,1
4998,F,25,28/02/2014,NA,5
4999,M,29,28/02/2014,NA,11
5000,M,44,28/02/2014,NA,4
5001,M,69,12/03/2014,NA,1
5002,F,39,1/03/2014,NA,1
5003,F,22,1/03/2014,NA,3
5004,F,39,1/03/2014,NA,2
5005,F,48,1/03/2014,NA,9
5006,M,30,1/03/2014,NA,7
5007,M,41,1/03/2014,NA,22
5008,M,29,1/03/2014,NA,26
5009,M,26,1/03/2014,NA,18
5010,M,35,1/03/2014,NA,13
5011,F,30,2/03/2014,NA,2
5012,F,32,2/03/2014,NA,3
5013,M,34,2/03/2014,NA,3
5014,M,36,2/03/2014,NA,1
5015,F,41,2/03/2014,NA,1
5016,M,59,2/03/2014,NA,2
5017,M,33,2/03/2014,NA,17
5018,F,39,2/03/2014,NA,8
5019,F,32,2/03/2014,NA,1
5020,F,55,2/03/2014,NA,2
5021,M,33,8/03/2014,NA,1
5022,F,37,4/03/2014,NA,1
5023,F,63,3/03/2014,NA,3
5024,F,56,1/04/2014,NA,1
5025,F,21,3/03/2014,NA,1
5026,F,38,3/03/2014,NA,9
5027,F,23,30/01/2016,29.47,1
5028,F,33,3/03/2014,NA,3
5029,M,63,3/03/2014,NA,1
5030,F,52,3/03/2014,NA,30
5031,M,28,3/03/2014,NA,9
5032,F,30,3/03/2014,NA,1
5033,M,26,3/03/2014,NA,16
5034,M,63,3/03/2014,NA,10
5035,F,35,3/03/2014,NA,2
5036,F,54,3/03/2014,NA,31
5037,M,36,3/03/2014,NA,3
5038,M,26,3/03/2014,NA,13
5039,F,54,4/03/2014,NA,6
5040,M,26,4/03/2014,NA,1
5041,F,19,4/03/2014,NA,9
5042,M,52,4/03/2014,NA,26
5043,F,19,4/03/2014,NA,17
5044,M,46,4/03/2014,NA,5
5045,F,61,4/03/2014,NA,5
5046,F,60,4/03/2014,NA,1
5047,F,29,4/03/2014,NA,3
5048,M,26,4/03/2014,NA,8
5049,F,43,9/06/2014,NA,20
5050,M,23,4/03/2014,NA,2
5051,F,23,4/03/2014,NA,5
5052,F,32,4/03/2014,NA,6
5053,M,33,4/03/2014,NA,5
5054,F,32,4/03/2014,NA,1
5055,F,29,4/03/2014,NA,2
5056,M,65,4/03/2014,NA,6
5057,F,34,4/03/2014,NA,2
5058,M,34,4/03/2014,NA,11
5059,F,18,5/03/2014,NA,1
5060,F,43,27/05/2014,NA,38
5061,F,29,29/06/2014,NA,1
5062,M,38,5/03/2014,NA,1
5063,M,44,5/03/2014,NA,1
5064,F,28,5/03/2014,NA,1
5065,F,27,5/03/2014,NA,1
5066,F,25,5/03/2014,NA,3
5067,M,52,5/03/2014,NA,6
5068,F,36,5/03/2014,NA,6
5069,F,46,5/03/2014,NA,6
5070,F,37,12/08/2014,NA,1
5071,M,65,6/03/2014,NA,1
5072,F,32,13/10/2014,NA,1
5073,F,21,6/03/2014,NA,6
